lang	n_samples	supported	precision	recall	f1	tp	fp	fn
ara	44057	yes	0.9990	0.9720	0.9853	42825	42	1232
uzb	43198	yes	0.8889	0.0002	0.0004	8	1	43190
ind	33828	yes	0.8186	0.9443	0.8770	31945	7079	1883
msa	28567	yes	0.9845	0.7115	0.8260	20325	321	8242
eng	27461	yes	0.9367	0.8648	0.8993	23749	1606	3712
vie	21803	yes	0.9978	0.9799	0.9888	21364	47	439
fas	19318	yes	0.9885	0.9857	0.9871	19041	222	277
hau	16455	yes	0.9944	0.9360	0.9643	15402	87	1053
swh	16414	yes	0.9943	0.8789	0.9331	14427	83	1987
zho	13659	yes	0.9881	0.9203	0.9530	12571	151	1088
tel	11747	yes	0.9985	0.9912	0.9949	11644	17	103
deu	7553	yes	0.9707	0.8632	0.9138	6520	197	1033
heb	5863	yes	0.9962	0.9742	0.9851	5712	22	151
tur	4486	yes	0.9641	0.9572	0.9606	4294	160	192
ita	4387	yes	0.8837	0.8714	0.8775	3823	503	564
spa	4236	yes	0.9054	0.8855	0.8953	3751	392	485
rus	4003	yes	0.9090	0.9580	0.9329	3835	384	168
hin	3666	yes	0.9467	0.9553	0.9510	3502	197	164
jpn	3344	yes	0.9542	0.9219	0.9378	3083	148	261
nld	3299	yes	0.8211	0.9751	0.8915	3217	701	82
fra	3272	yes	0.9342	0.8759	0.9041	2866	202	406
tha	3118	yes	0.9983	0.9673	0.9826	3016	5	102
kan	2554	yes	0.9984	0.9620	0.9799	2457	4	97
por	2443	yes	0.8224	0.9251	0.8707	2260	488	183
bre	2348	yes	0.9969	0.8262	0.9036	1940	6	408
arg	2342	yes	0.9979	0.8015	0.8889	1877	4	465
yor	2290	yes	0.9716	0.8677	0.9167	1987	58	303
tgl	2281	yes	0.9585	0.9110	0.9341	2078	90	203
mlg	2153	yes	0.0000	0.0000	0.0000	0	0	2153
mal	2061	yes	0.9980	0.9854	0.9917	2031	4	30
ben	1886	yes	0.9961	0.9581	0.9768	1807	7	79
bik	1769	yes	0.9664	0.9276	0.9466	1641	57	128
jav	1656	yes	0.9008	0.8388	0.8687	1389	153	267
amh	1617	yes	0.9947	0.9239	0.9580	1494	8	123
vec	1558	yes	0.8621	0.8023	0.8311	1250	200	308
lug	1361	yes	0.9839	0.9456	0.9644	1287	21	74
sna	1355	yes	0.9264	0.9387	0.9326	1272	101	83
oci	1314	yes	0.9836	0.9102	0.9455	1196	20	118
orm	1071	yes	0.9711	0.9729	0.9720	1042	31	29
mar	1061	yes	0.9232	0.8492	0.8846	901	75	160
fin	1030	yes	0.7489	0.9786	0.8485	1008	338	22
tat	1029	yes	0.9253	0.9145	0.9198	941	76	88
pan	1020	yes	0.9917	0.9343	0.9621	953	8	67
fry	965	yes	0.9914	0.9585	0.9747	925	8	40
guj	948	yes	0.9967	0.9441	0.9697	895	3	53
sot	943	yes	0.9898	0.9268	0.9573	874	9	69
ces	933	yes	0.9077	0.9378	0.9225	875	89	58
gla	929	yes	0.9704	0.8816	0.9239	819	25	110
san	895	yes	0.9791	0.9419	0.9601	843	18	52
aze	876	yes	0.8580	0.9863	0.9177	864	143	12
lav	865	yes	0.7119	0.9827	0.8256	850	344	15
est	659	yes	0.0000	0.0000	0.0000	0	0	659
ory	608	yes	0.9981	0.8750	0.9325	532	1	76
acf	603	yes	0.9881	0.5489	0.7058	331	4	272
xho	575	yes	0.7812	0.9687	0.8649	557	156	18
grn	548	yes	0.8768	0.9088	0.8925	498	70	50
crh	405	yes	0.8378	0.5358	0.6536	217	42	188
rcf	401	yes	0.9675	0.7431	0.8406	298	10	103
gom	338	yes	0.8193	0.7781	0.7982	263	58	75
asm	213	yes	0.8475	0.9390	0.8909	200	36	13
urd	204	yes	0.4314	0.7402	0.5451	151	199	53
ibo	168	yes	0.7970	0.9583	0.8703	161	41	7
lij	147	yes	0.6580	0.8639	0.7471	127	66	20
kab	116	yes	0.6550	0.9655	0.7805	112	59	4
gcr	111	yes	0.9121	0.7477	0.8218	83	8	28
bul	109	yes	0.8319	0.9083	0.8684	99	20	10
nso	99	yes	0.5808	0.9798	0.7293	97	70	2
cat	93	yes	0.4147	0.9677	0.5806	90	127	3
afr	88	yes	0.4848	0.9091	0.6324	80	85	8
tam	81	yes	0.9205	1.0000	0.9586	81	7	0
kik	62	yes	0.7600	0.9194	0.8321	57	18	5
lin	55	yes	0.0000	0.0000	0.0000	0	175	55
lat	50	yes	0.4348	0.8000	0.5634	40	52	10
bak	46	yes	0.5658	0.9348	0.7049	43	33	3
ltg	38	yes	0.6957	0.4211	0.5246	16	7	22
fuv	37	yes	0.2344	0.8108	0.3636	30	98	7
gcf	24	yes	0.0962	0.8333	0.1724	20	188	4
tuk	22	yes	0.4762	0.9091	0.6250	20	22	2
ell	8	yes	0.1852	0.6250	0.2857	5	22	3
kor	8	yes	0.0896	0.7500	0.1600	6	61	2
ext	7	yes	0.5714	0.5714	0.5714	4	3	3
nyn	5	yes	0.2941	1.0000	0.4545	5	12	0
guw	4	yes	0.1875	0.7500	0.3000	3	13	1
zul	4	yes	0.0167	0.2500	0.0312	1	59	3
pcm	2	yes	0.0000	0.0000	0.0000	0	35	2
ukr	2	yes	0.0769	1.0000	0.1429	2	24	0
ace	1	yes	0.0068	1.0000	0.0135	1	146	0
gle	1	yes	0.0000	0.0000	0.0000	0	65	1
pol	1	yes	0.0027	1.0000	0.0055	1	364	0
aba	0	no	0.0000	0.0000	0.0000	0	2	0
abk	0	no	0.0000	0.0000	0.0000	0	10	0
abn	0	no	0.0000	0.0000	0.0000	0	4	0
abs	0	no	0.0000	0.0000	0.0000	0	22	0
abz	0	no	0.0000	0.0000	0.0000	0	8	0
ach	0	no	0.0000	0.0000	0.0000	0	1	0
acm	0	no	0.0000	0.0000	0.0000	0	62	0
acr	0	no	0.0000	0.0000	0.0000	0	1	0
adh	0	no	0.0000	0.0000	0.0000	0	1	0
adi	0	no	0.0000	0.0000	0.0000	0	1	0
aey	0	no	0.0000	0.0000	0.0000	0	3	0
agn	0	no	0.0000	0.0000	0.0000	0	1	0
agr	0	no	0.0000	0.0000	0.0000	0	1	0
ajp	0	no	0.0000	0.0000	0.0000	0	71	0
als	0	no	0.0000	0.0000	0.0000	0	20	0
alt	0	no	0.0000	0.0000	0.0000	0	1	0
alz	0	no	0.0000	0.0000	0.0000	0	1	0
ame	0	no	0.0000	0.0000	0.0000	0	1	0
ami	0	no	0.0000	0.0000	0.0000	0	1	0
amk	0	no	0.0000	0.0000	0.0000	0	1	0
ang	0	no	0.0000	0.0000	0.0000	0	1	0
anm	0	no	0.0000	0.0000	0.0000	0	1	0
anp	0	no	0.0000	0.0000	0.0000	0	59	0
apc	0	no	0.0000	0.0000	0.0000	0	156	0
arn	0	no	0.0000	0.0000	0.0000	0	1	0
