lang	n_samples	supported	precision	recall	f1	tp	fp	fn
ara	44057	yes	0.9992	0.9877	0.9934	43515	36	542
uzb	43198	yes	0.0000	0.0000	0.0000	0	0	43198
ind	33828	yes	0.8930	0.8590	0.8756	29058	3483	4770
msa	28567	yes	0.9264	0.8037	0.8607	22958	1825	5609
eng	27461	yes	0.9846	0.7504	0.8517	20606	322	6855
vie	21803	yes	0.9993	0.9449	0.9713	20601	14	1202
fas	19318	yes	0.9858	0.9915	0.9886	19153	276	165
hau	16455	yes	0.9964	0.9188	0.9561	15119	54	1336
swh	16414	yes	0.9943	0.9106	0.9506	14947	86	1467
zho	13659	yes	0.8699	0.9468	0.9067	12933	1935	726
tel	11747	yes	0.9999	0.9829	0.9913	11546	1	201
deu	7553	yes	0.9922	0.8242	0.9004	6225	49	1328
heb	5863	yes	0.9965	0.9790	0.9877	5740	20	123
tur	4486	yes	0.9723	0.9233	0.9472	4142	118	344
ita	4387	yes	0.9531	0.7871	0.8622	3453	170	934
spa	4236	yes	0.8611	0.7578	0.8061	3210	518	1026
rus	4003	yes	0.9415	0.9201	0.9306	3683	229	320
hin	3666	yes	0.8535	0.9490	0.8987	3479	597	187
jpn	3344	yes	0.9426	0.9240	0.9333	3090	188	254
nld	3299	yes	0.7757	0.9603	0.8582	3168	916	131
fra	3272	yes	0.9480	0.8185	0.8785	2678	147	594
tha	3118	yes	0.9997	0.9477	0.9730	2955	1	163
kan	2554	yes	1.0000	0.9616	0.9804	2456	0	98
